f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.07625938,-0.14294298,0.1531485,0.03368236,0.008696541,0.17917536,0.11282056,0.095588624,0.1488931,0.1287172
-0.08807878,-0.12022821,0.14655809,0.03924463,-0.022496657,0.19054452,0.1276211,0.10935451,0.1426028,0.121336505
-0.0662453,-0.1528687,0.12884238,0.02139854,0.026201628,0.17875385,0.11281358,0.10439392,0.15374915,0.13088408
-0.14359017,-0.013439652,0.14671236,0.1182684,-0.15761982,0.14087749,0.03028302,0.07660685,0.13379815,0.05686543
-0.12136568,-0.0055354107,0.15578337,0.12075605,-0.15840378,0.1480267,0.010730216,0.10367513,0.1393527,0.028092816
-0.07413736,-0.14841413,0.15080425,0.028381998,0.009308645,0.18432039,0.1140453,0.09971316,0.14440688,0.13469586
-0.11090916,0.0009645578,0.15151134,0.12805013,-0.14620718,0.17836002,0.016435176,0.12785934,0.14651811,0.04379789
-0.07691866,-0.14215833,0.1584692,0.03384316,0.007089761,0.19337851,0.10413617,0.108874254,0.14344648,0.13402371
-0.13065456,0.005080643,0.15176761,0.12082119,-0.1596846,0.1581091,-0.009111827,0.11037156,0.14233989,0.029385049
-0.08561994,-0.14309375,0.15042298,0.032614984,0.0021177125,0.18755317,0.1153573,0.10300892,0.1500694,0.13052908
-0.12841678,0.014899449,0.1441026,0.12920235,-0.17298277,0.14886352,-0.0051981416,0.101116896,0.13602749,0.018898068
-0.076772995,-0.14516732,0.1487309,0.027692635,0.008282994,0.18569401,0.115155295,0.10379586,0.14381929,0.13749757
-0.14825815,0.0042845304,0.14297923,0.11790041,-0.18418157,0.15156303,-0.009123577,0.09137385,0.12660424,0.020769117
-0.13166617,0.0072725355,0.14670688,0.12712184,-0.1735843,0.16644745,-0.01423776,0.08737926,0.13542692,0.04619802
-0.13767707,0.0065130815,0.14320621,0.12503868,-0.16677259,0.15588544,-0.0052131265,0.10513979,0.13669239,0.030942151
-0.11300452,-0.001834405,0.15712462,0.12347044,-0.17070064,0.15054117,-0.0039623044,0.094566494,0.1323234,0.029097777
-0.13935658,-0.035279393,0.15896499,0.11476904,-0.13952659,0.16883065,0.027130535,0.105386265,0.15226214,0.053504605
-0.13704704,0.010359132,0.1474352,0.13440906,-0.17328385,0.14752857,-0.009133741,0.09591851,0.12576494,0.015318519
-0.1514439,-0.063157775,0.15498354,0.10050081,-0.11776499,0.169083,0.036717534,0.096000634,0.15352955,0.07451422
-0.1354043,-0.0049994476,0.14159362,0.13179426,-0.16136312,0.15729544,0.003260252,0.11068237,0.13759367,0.036024563
-0.08527973,-0.08300871,0.12671717,0.044243816,-0.067167744,0.18752843,0.10038054,0.13865325,0.19169039,0.10722504
-0.080857486,-0.14718527,0.14597613,0.02836296,0.00013361887,0.18579756,0.118744865,0.1033504,0.14552642,0.13520408
-0.083287925,-0.13621269,0.15193892,0.025266677,-0.0028381157,0.18691549,0.11630369,0.10174175,0.15085696,0.13264216
-0.07547851,-0.15099034,0.14122504,0.036872726,-0.00038899237,0.18410364,0.10339009,0.09354908,0.14590405,0.1357942
-0.089007065,-0.0975399,0.14001936,0.076800995,-0.06844769,0.17150065,0.10304876,0.11216944,0.15863998,0.100343004
